campaign_id,subject,send_date,total_recipients
C001,O conforto de mudar mais rapidamente,2025-06-04T16:32:58.815996,5000
C002,O poder de realizar seus sonhos mais facilmente,2025-06-05T16:32:58.815996,5000
C003,A certeza de evoluir em estado puro,2025-06-06T16:32:58.815996,5000
C004,A segurança de evoluir mais facilmente,2025-06-07T16:32:58.815996,5000
C005,O poder de evoluir naturalmente,2025-06-08T16:32:58.815996,5000
C006,O prazer de mudar mais facilmente,2025-06-09T16:32:58.815996,5000
C007,O conforto de ganhar simplesmente,2025-06-10T16:32:58.815996,5000
C008,O conforto de mudar em estado puro,2025-06-11T16:32:58.815996,5000
C009,O direito de conseguir sem preocupação,2025-06-12T16:32:58.815996,5000
C010,O poder de conseguir com toda a tranquilidade,2025-06-13T16:32:58.815996,5000
C011,A vantagem de mudar direto da fonte,2025-06-14T16:32:58.815996,5000
C012,A liberdade de atingir seus objetivos com confiança,2025-06-15T16:32:58.815996,5000
C013,O direito de inovar de maneira eficaz,2025-06-16T16:32:58.815996,5000
C014,O direito de evoluir mais rapidamente,2025-06-17T16:32:58.815996,5000
C015,O direito de ganhar mais facilmente,2025-06-18T16:32:58.815996,5000
C016,A segurança de conseguir simplesmente,2025-06-19T16:32:58.815996,5000
C017,A segurança de ganhar mais rapidamente,2025-06-20T16:32:58.815996,5000
C018,A liberdade de concretizar seus projetos mais facilmente,2025-06-21T16:32:58.815996,5000
C019,O direito de evoluir antes de tudo,2025-06-22T16:32:58.815996,5000
C020,O conforto de atingir seus objetivos antes de tudo,2025-06-23T16:32:58.815996,5000
C021,O prazer de atingir seus objetivos com confiança,2025-06-24T16:32:58.815996,5000
C022,A vantagem de evoluir sem preocupação,2025-06-25T16:32:58.815996,5000
C023,A simplicidade de realizar seus sonhos antes de tudo,2025-06-26T16:32:58.815996,5000
C024,A simplicidade de realizar seus sonhos direto da fonte,2025-06-27T16:32:58.815996,5000
C025,A possibilidade de evoluir em estado puro,2025-06-28T16:32:58.815996,5000
C026,O poder de mudar direto da fonte,2025-06-29T16:32:58.815996,5000
C027,O direito de realizar seus sonhos direto da fonte,2025-06-30T16:32:58.815996,5000
C028,A possibilidade de conseguir sem preocupação,2025-07-01T16:32:58.815996,5000
C029,A certeza de evoluir direto da fonte,2025-07-02T16:32:58.815996,5000
C030,A arte de concretizar seus projetos direto da fonte,2025-07-03T16:32:58.815996,5000
